"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"386",683,683,"G-Bay","IMRP","2024-09-10T18:54:56Z",80,50,-79.8614029999999,44.8677420000001,c(589945.108062684, 4968888.91108151),386,0.0131923211749122,0.0131923211749122,0.71912165679631,0.71912165679631
"387",684,684,"G-Bay","IMRP","2024-09-10T18:55:04Z",80,50,-79.861386,44.8677680000001,c(589946.410506507, 4968891.81811811),387,0.0141037660245934,0.0141037660245934,0.719371220204655,0.719371220204655
"388",685,685,"G-Bay","IMRP","2024-09-10T18:55:16Z",50,55,-79.861351,44.8678,c(589949.125539188, 4968895.41160228),388,0.0163479959691826,0.0163479959691826,0.72012007402042,0.72012007402042
"389",686,686,"G-Bay","IMRP","2024-09-10T18:55:24Z",20,55,-79.861327,44.867829,c(589950.976281542, 4968898.65964827),389,0.0178151455870991,0.0178151455870991,0.720499186170665,0.720499186170665
"390",687,687,"G-Bay","IMRP","2024-09-10T18:55:33Z",40,60,-79.861304,44.8678600000001,c(589952.744910261, 4968902.12875688),390,0.0192670102450877,0.0192670102450877,0.721166643451796,0.721166643451796
"391",688,688,"G-Bay","IMRP","2024-09-10T18:55:44Z",0,60,-79.861285,44.867898,c(589954.186647847, 4968906.37102921),391,0.0204145771929339,0.0204145771929339,0.715545209453547,0.715545209453547
"392",689,689,"G-Bay","IMRP","2024-09-10T18:55:52Z",10,50,-79.8612899999999,44.867935,c(589953.734031416, 4968910.47563112),392,0.0197321411325082,0.0197321411325082,0.704954852493752,0.704954852493752
"393",690,690,"G-Bay","IMRP","2024-09-10T18:56:02Z",80,30,-79.861296,44.8679780000001,c(589953.193073088, 4968915.24563463),393,0.0185446652269769,0.0185446652269769,0.706420820249091,0.706420820249091
"394",691,691,"G-Bay","IMRP","2024-09-10T18:56:11Z",100,20,-79.861301,44.868003,c(589952.759149956, 4968918.01721805),394,0.0166976147882123,0.0166976147882123,0.721979326938928,0.721979326938928
"395",692,692,"G-Bay","IMRP","2024-09-10T18:56:20Z",100,15,-79.861303,44.868025,c(589952.566888547, 4968920.45887003),395,0.0150463763359769,0.0150463763359769,0.717698433246797,0.717698433246797
