"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"194",194,194,"Ontario","IMRP","2024-08-07T18:25:31Z",0,30,-77.0690979999999,44.066515,c(814812.589110943, 4886777.35809036),194,0.00349197453187742,0.00349197453187742,1.30210542413077,1.30210542413077
"195",195,195,"Ontario","IMRP","2024-08-07T18:25:46Z",10,27,-77.069138,44.066518,c(814809.369555603, 4886777.53821907),195,0.00168263576093333,0.00168263576093333,1.16616100891114,1.16616100891114
"196",196,196,"Ontario","IMRP","2024-08-07T18:26:01Z",0,20,-77.069170906,44.066502266,c(814806.817612681, 4886775.664571),196,0.00178222702190025,0.00178222702190025,1.16581700744084,1.16581700744084
"197",197,197,"Ontario","IMRP","2024-08-07T18:26:18Z",30,40,-77.0692129999999,44.0664790000001,c(814803.569776955, 4886772.91911887),197,0.00341194870758387,0.00341194870758387,1.29975069389248,1.29975069389248
"198",198,198,"Ontario","IMRP","2024-08-07T18:26:41Z",0,25,-77.0692769999999,44.0664800000001,c(814798.438657764, 4886772.7852372),198,0.00242813846723595,0.00242813846723595,1.16480109012624,1.16480109012624
"199",199,199,"Ontario","IMRP","2024-08-07T18:26:56Z",0,28,-77.069317,44.0664810000001,c(814795.229717772, 4886772.74321736),199,0.0018889732688237,0.0018889732688237,1.16334144673676,1.16334144673676
"200",200,200,"Ontario","IMRP","2024-08-07T18:27:16Z",0,25,-77.0693439999999,44.066469,c(814793.130964855, 4886771.30694405),200,0.00293471706373854,0.00293471706373854,1.16408434289923,1.16408434289923
"201",201,201,"Ontario","IMRP","2024-08-07T18:27:42Z",50,40,-77.069394,44.0664630000001,c(814789.158273257, 4886770.4491089),201,0.00281680790508135,0.00281680790508135,1.16255610946406,1.16255610946406
"202",202,202,"Ontario","IMRP","2024-08-07T18:27:59Z",20,34,-77.0694319999999,44.0664620000001,c(814786.120130324, 4886770.1925927),202,0.00147505719511096,0.00147505719511096,1.16167308288033,1.16167308288033
"203",203,203,"Ontario","IMRP","2024-08-07T18:28:16Z",40,42,-77.069462,44.066447,c(814783.797026454, 4886768.41160727),203,0.00164269612213008,0.00164269612213008,1.1614383834654,1.1614383834654
"204",204,204,"Ontario","IMRP","2024-08-07T18:28:46Z",50,41,-77.0695249999999,44.0664190000001,c(814778.899926463, 4886765.06031296),204,0.0027282401299732,0.0027282401299732,1.16163369723397,1.16163369723397
"205",205,205,"Ontario","IMRP","2024-08-07T18:29:01Z",30,45,-77.069561,44.0664080000001,c(814776.075041906, 4886763.70067826),205,0.00229287274930817,0.00229287274930817,1.16079302328644,1.16079302328644
"206",206,206,"Ontario","IMRP","2024-08-07T18:29:22Z",0,15,-77.069599,44.066404,c(814773.052819487, 4886763.11093495),206,0.00059154846505968,0.00059154846505968,1.15958980795277,1.15958980795277
"207",207,207,"Ontario","IMRP","2024-08-07T18:30:11Z",0,27,-77.0697469999999,44.066317,c(814761.66113241, 4886752.88076201),207,0.00199910392966437,0.00199910392966437,1.54441072969133,1.54441072969133
"208",208,208,"Ontario","IMRP","2024-08-07T18:53:24Z",0,19,-77.023790134,44.0334478510001,c(818618.848362679, 4883278.75659885),208,0.00429095439916788,0.00429095439916788,0.945829293523724,0.945829293523724
"209",209,209,"Ontario","IMRP","2024-08-07T18:54:03Z",0,23,-77.023858,44.0334570000001,c(818613.360775195, 4883279.51008976),209,0.00509917480802727,0.00509917480802727,0.94572511003644,0.94572511003644
"210",210,210,"Ontario","IMRP","2024-08-07T18:54:36Z",0,34,-77.023944,44.0334730000001,c(818606.383243423, 4883280.95437017),210,0.00570180329284498,0.00570180329284498,0.945502207702754,0.945502207702754
"211",211,211,"Ontario","IMRP","2024-08-07T18:55:03Z",10,37,-77.0240029999999,44.033484,c(818601.596209448, 4883281.94780108),211,0.00575078907090535,0.00575078907090535,0.944938399806782,0.944938399806782
